DATA,PERIODO,NOME_EVENTO,DISTANCIA,MEDALHA,INFANTIL,LOCAL,MODALIDADE,VALOR,SITE
16/03/2025,Manhã,Circuito das Estações 2025 - etapa Outono - São Paulo,5/10/13,SIM,NÃO,Praça Charles Miller/Pacaembu,Corrida de Rua,a partir de R$ 215,99,http://www.circuitodasestacoes.com.br
16/03/2025,Manhã,Athenas 21.1k 2025 - Run Faster - São Paulo,5/10/15/21.1,SIM,NÃO,Parque do Povo,Corrida de Rua,a partir de R$ 159,90 + taxa,https://iguanasports.com.br/blogs/calendario-corridas-de-rua/athenas-run-faster-2025
16/03/2025,Manhã,Athenas Kids 2025 - Run Faster - São Paulo,N/I,SIM,SIM,Parque do Povo,Corrida de Rua,a partir de R$ 159,90 + taxa,https://iguanasports.com.br/blogs/calendario-corridas-de-rua/athenas-run-faster-2027
16/03/2025,Manhã,EdanRun 2024 - São Paulo,5,SIM,SIM,Parque Villa-Lobos,Corrida de Rua,a partir de R$ 170,00 + taxa,http://edanrun.com.br/
16/03/2025,Manhã,Corrida Mulher-Maravilha 2025 - Itaquera - São Paulo,5,SIM,SIM,Shopping Metr� Itaquera,Corrida de Rua,a partir de R$ 181,50 + taxa,http://www.yescom.com.br/corridamulhermaravilha/2025/sp/index.asp
23/03/2025,,Girl Power Run 2025 - São Paulo,,,,São Paulo - Zona Oeste,Corrida de rua, Corrida feminina,
23/03/2025,,Bravus Race 2025 - Speed I - São Paulo,,,,Interior/litoral-SP,Corrida de obst�culos,,https://esportividade.com.br/evento/bravus-race-2025-speed-i-sao-paulo/
23/03/2025,Manhã,1° Shopping Cidade Jardim de 2025 - Santander Track&Field Run Series,,,,São Paulo - Zona Oeste,Corrida de rua,,https://esportividade.com.br/evento/1a-shopping-cidade-jardim-de-2025-santander-trackfield-run-series/
23/03/2025,Manhã,Circuito Oscar Fila 2025 - São José dos Campos - março,,,,Interior/litoral-SP,Corrida de rua,,https://esportividade.com.br/evento/circuito-oscar-fila-2025-sao-jose-dos-campos-marco/
23/03/2025,Manhã,Parque Vila do Rodeio - Circuito Popular de corrida de São Paulo 2025,,,,São Paulo - Zona Leste,Corrida de rua, Corrida infantil,
23/03/2025,Manhã,Etapa Sesc Florêncio de Abreu - Circuito Sesc de corridas 2025,,,,São Paulo - Centro,Corrida de rua,,https://esportividade.com.br/evento/etapa-do-sesc-florencio-de-abreu-circuito-sesc-de-corridas-2025/
23/03/2025,Manhã,Coisa Run 2025 - Santo André,,,,Santo André-SP,Corrida de rua,,https://esportividade.com.br/evento/coisa-run-2025-santo-andre/
23/03/2025,Manhã,Corrida Oxente Run 2025 - Ribeirão Pires,,,,Ribeirão Pires-SP,Corrida de rua,,https://esportividade.com.br/evento/corrida-oxente-run-2025-ribeirao-pires/
23/03/2025,Manhã,IGT23k 2025 - Igaratá,,,,Interior/litoral-SP,Corrida de montanha, Corrida de trilha,
23/03/2025,Manhã,Corrida Mulheres Largam na Frente 2025 - shopping Taboão,,,,Taboão da Serra-SP,Corrida de rua, Corrida feminina,
